label,kp_name,x,y
cover1,Right ankle,80,98
cover1,Right knee,88,73
cover1,Right hip,63,75
cover1,Left hip,53,79
cover1,Left knee,64,100
cover1,Left ankle,69,127
cover1,Right wrist,89,67
cover1,Right elbow,77,53
cover1,Right shoulder,68,38
cover1,Left shoulder,55,36
cover1,Left elbow,73,29
cover1,Left wrist,84,20
cover1,thorax,61,31
cover1,head top,67,20
cover1,Right ankle,74,123
cover1,Right knee,69,98
cover1,Right hip,71,73
cover1,Left hip,54,72
cover1,Left knee,48,93
cover1,Left ankle,54,119
cover1,Right wrist,33,14
cover1,Right elbow,45,21
cover1,Right shoulder,61,31
cover1,Left shoulder,48,35
cover1,Left elbow,48,56
cover1,Left wrist,42,52
cover1,thorax,50,26
cover1,head top,40,20
cover1,Right ankle,65,120
cover1,Right knee,59,95
cover1,Right hip,70,73
cover1,Left hip,60,69
cover1,Left knee,37,73
cover1,Left ankle,48,96
cover1,Right wrist,46,25
cover1,Right elbow,44,38
cover1,Right shoulder,60,25
cover1,Left shoulder,57,27
cover1,Left elbow,46,44
cover1,Left wrist,47,26
cover1,thorax,56,24
cover1,head top,49,16
cover1,Right ankle,80,104
cover1,Right knee,84,79
cover1,Right hip,61,76
cover1,Left hip,55,80
cover1,Left knee,68,100
cover1,Left ankle,64,127
cover1,Right wrist,72,30
cover1,Right elbow,73,47
cover1,Right shoulder,59,33
cover1,Left shoulder,55,33
cover1,Left elbow,72,47
cover1,Left wrist,71,30
cover1,thorax,63,31
cover1,head top,66,21
cover1,Right ankle,58,134
cover1,Right knee,56,111
cover1,Right hip,52,84
cover1,Left hip,72,84
cover1,Left knee,66,111
cover1,Left ankle,66,133
cover1,Right wrist,42,70
cover1,Right elbow,34,56
cover1,Right shoulder,48,41
cover1,Left shoulder,72,40
cover1,Left elbow,86,53
cover1,Left wrist,81,68
cover1,thorax,60,39
cover1,head top,60,22
cover1,Right ankle,38,80
cover1,Right knee,38,53
cover1,Right hip,63,68
cover1,Left hip,62,66
cover1,Left knee,40,54
cover1,Left ankle,38,79
cover1,Right wrist,38,31
cover1,Right elbow,45,43
cover1,Right shoulder,57,26
cover1,Left shoulder,51,33
cover1,Left elbow,43,48
cover1,Left wrist,38,34
cover1,thorax,50,28
cover1,head top,41,23
cover1,Right ankle,58,131
cover1,Right knee,56,111
cover1,Right hip,53,87
cover1,Left hip,70,87
cover1,Left knee,67,110
cover1,Left ankle,65,131
cover1,Right wrist,30,73
cover1,Right elbow,39,55
cover1,Right shoulder,48,42
cover1,Left shoulder,72,42
cover1,Left elbow,78,61
cover1,Left wrist,79,77
cover1,thorax,60,41
cover1,head top,59,23
cover1,Right ankle,63,126
cover1,Right knee,67,101
cover1,Right hip,54,79
cover1,Left hip,59,79
cover1,Left knee,71,102
cover1,Left ankle,62,127
cover1,Right wrist,58,80
cover1,Right elbow,58,60
cover1,Right shoulder,58,37
cover1,Left shoulder,66,39
cover1,Left elbow,72,51
cover1,Left wrist,79,65
cover1,thorax,63,34
cover1,head top,68,21
cover1,Right ankle,40,130
cover1,Right knee,47,107
cover1,Right hip,52,83
cover1,Left hip,72,84
cover1,Left knee,76,107
cover1,Left ankle,84,129
cover1,Right wrist,44,65
cover1,Right elbow,34,53
cover1,Right shoulder,47,40
cover1,Left shoulder,74,41
cover1,Left elbow,88,53
cover1,Left wrist,77,67
cover1,thorax,60,40
cover1,head top,60,22
cover1,Right ankle,58,133
cover1,Right knee,55,111
cover1,Right hip,52,84
cover1,Left hip,72,84
cover1,Left knee,67,111
cover1,Left ankle,66,132
cover1,Right wrist,36,25
cover1,Right elbow,32,38
cover1,Right shoulder,46,42
cover1,Left shoulder,74,41
cover1,Left elbow,90,38
cover1,Left wrist,84,21
cover1,thorax,58,40
cover1,head top,60,23
cover1,Right ankle,64,122
cover1,Right knee,60,97
cover1,Right hip,70,72
cover1,Left hip,65,72
cover1,Left knee,59,97
cover1,Left ankle,64,122
cover1,Right wrist,47,26
cover1,Right elbow,45,37
cover1,Right shoulder,61,26
cover1,Left shoulder,60,25
cover1,Left elbow,45,42
cover1,Left wrist,46,26
cover1,thorax,55,24
cover1,head top,49,16
cover1,Right ankle,63,119
cover1,Right knee,60,96
cover1,Right hip,71,71
cover1,Left hip,68,71
cover1,Left knee,57,95
cover1,Left ankle,63,121
cover1,Right wrist,40,18
cover1,Right elbow,39,29
cover1,Right shoulder,54,30
cover1,Left shoulder,65,30
cover1,Left elbow,72,48
cover1,Left wrist,57,58
cover1,thorax,58,27
cover1,head top,50,18
cover1,Right ankle,64,129
cover1,Right knee,65,102
cover1,Right hip,54,78
cover1,Left hip,58,78
cover1,Left knee,71,99
cover1,Left ankle,64,125
cover1,Right wrist,78,73
cover1,Right elbow,74,57
cover1,Right shoulder,65,40
cover1,Left shoulder,54,36
cover1,Left elbow,77,32
cover1,Left wrist,90,28
cover1,thorax,64,33
cover1,head top,68,21
cover1,Right ankle,63,122
cover1,Right knee,60,96
cover1,Right hip,60,72
cover1,Left hip,69,72
cover1,Left knee,60,97
cover1,Left ankle,65,123
cover1,Right wrist,40,17
cover1,Right elbow,43,30
cover1,Right shoulder,58,25
cover1,Left shoulder,53,29
cover1,Left elbow,41,43
cover1,Left wrist,36,31
cover1,thorax,52,25
cover1,head top,49,15
cover1,Right ankle,58,132
cover1,Right knee,56,111
cover1,Right hip,52,86
cover1,Left hip,70,86
cover1,Left knee,68,110
cover1,Left ankle,66,132
cover1,Right wrist,44,79
cover1,Right elbow,43,62
cover1,Right shoulder,47,43
cover1,Left shoulder,72,41
cover1,Left elbow,87,34
cover1,Left wrist,79,23
cover1,thorax,60,40
cover1,head top,61,23
cover1,Right ankle,65,129
cover1,Right knee,64,105
cover1,Right hip,60,79
cover1,Left hip,54,79
cover1,Left knee,70,100
cover1,Left ankle,65,127
cover1,Right wrist,88,35
cover1,Right elbow,81,45
cover1,Right shoulder,63,37
cover1,Left shoulder,57,34
cover1,Left elbow,75,32
cover1,Left wrist,89,28
cover1,thorax,65,32
cover1,head top,68,21
cover1,Right ankle,74,121
cover1,Right knee,68,97
cover1,Right hip,71,72
cover1,Left hip,55,71
cover1,Left knee,48,93
cover1,Left ankle,52,119
cover1,Right wrist,34,54
cover1,Right elbow,43,43
cover1,Right shoulder,59,29
cover1,Left shoulder,49,30
cover1,Left elbow,38,42
cover1,Left wrist,43,33
cover1,thorax,51,25
cover1,head top,46,16
cover1,Right ankle,62,124
cover1,Right knee,61,95
cover1,Right hip,69,71
cover1,Left hip,63,71
cover1,Left knee,58,96
cover1,Left ankle,62,124
cover1,Right wrist,39,15
cover1,Right elbow,40,29
cover1,Right shoulder,60,27
cover1,Left shoulder,52,29
cover1,Left elbow,40,45
cover1,Left wrist,33,57
cover1,thorax,53,24
cover1,head top,48,16
cover1,Right ankle,54,87
cover1,Right knee,42,71
cover1,Right hip,62,68
cover1,Left hip,68,69
cover1,Left knee,53,90
cover1,Left ankle,58,118
cover1,Right wrist,33,50
cover1,Right elbow,45,39
cover1,Right shoulder,55,25
cover1,Left shoulder,54,28
cover1,Left elbow,49,48
cover1,Left wrist,46,37
cover1,thorax,52,27
cover1,head top,46,19
cover1,Right ankle,59,126
cover1,Right knee,64,104
cover1,Right hip,51,81
cover1,Left hip,59,79
cover1,Left knee,79,79
cover1,Left ankle,72,102
cover1,Right wrist,80,58
cover1,Right elbow,67,55
cover1,Right shoulder,56,37
cover1,Left shoulder,51,36
cover1,Left elbow,70,36
cover1,Left wrist,85,25
cover1,thorax,58,32
cover1,head top,63,22
cover1,Right ankle,63,130
cover1,Right knee,65,105
cover1,Right hip,57,79
cover1,Left hip,54,79
cover1,Left knee,70,99
cover1,Left ankle,64,127
cover1,Right wrist,71,31
cover1,Right elbow,73,41
cover1,Right shoulder,57,36
cover1,Left shoulder,54,33
cover1,Left elbow,73,44
cover1,Left wrist,70,32
cover1,thorax,62,31
cover1,head top,68,23
cover1,Right ankle,58,133
cover1,Right knee,56,112
cover1,Right hip,52,87
cover1,Left hip,71,87
cover1,Left knee,66,112
cover1,Left ankle,66,132
cover1,Right wrist,34,28
cover1,Right elbow,30,40
cover1,Right shoulder,46,42
cover1,Left shoulder,72,41
cover1,Left elbow,78,61
cover1,Left wrist,79,76
cover1,thorax,59,41
cover1,head top,59,22
cover1,Right ankle,39,130
cover1,Right knee,46,107
cover1,Right hip,51,82
cover1,Left hip,72,83
cover1,Left knee,76,107
cover1,Left ankle,85,130
cover1,Right wrist,54,19
cover1,Right elbow,41,27
cover1,Right shoulder,50,41
cover1,Left shoulder,73,41
cover1,Left elbow,79,59
cover1,Left wrist,82,75
cover1,thorax,60,39
cover1,head top,60,23
cover1,Right ankle,83,103
cover1,Right knee,85,78
cover1,Right hip,61,74
cover1,Left hip,54,78
cover1,Left knee,75,95
cover1,Left ankle,53,106
cover1,Right wrist,71,31
cover1,Right elbow,73,47
cover1,Right shoulder,58,34
cover1,Left shoulder,56,33
cover1,Left elbow,71,45
cover1,Left wrist,72,31
cover1,thorax,63,32
cover1,head top,66,21
cover1,Right ankle,39,130
cover1,Right knee,46,108
cover1,Right hip,50,86
cover1,Left hip,71,85
cover1,Left knee,76,108
cover1,Left ankle,84,131
cover1,Right wrist,27,69
cover1,Right elbow,37,58
cover1,Right shoulder,46,42
cover1,Left shoulder,72,41
cover1,Left elbow,86,56
cover1,Left wrist,97,67
cover1,thorax,60,40
cover1,head top,61,22
cover1,Right ankle,58,134
cover1,Right knee,55,111
cover1,Right hip,52,85
cover1,Left hip,71,86
cover1,Left knee,67,111
cover1,Left ankle,67,132
cover1,Right wrist,27,70
cover1,Right elbow,36,58
cover1,Right shoulder,46,42
cover1,Left shoulder,71,40
cover1,Left elbow,86,54
cover1,Left wrist,96,68
cover1,thorax,60,40
cover1,head top,60,22
cover1,Right ankle,74,121
cover1,Right knee,68,98
cover1,Right hip,74,71
cover1,Left hip,60,72
cover1,Left knee,52,93
cover1,Left ankle,54,119
cover1,Right wrist,33,53
cover1,Right elbow,43,39
cover1,Right shoulder,60,26
cover1,Left shoulder,53,30
cover1,Left elbow,44,43
cover1,Left wrist,37,42
cover1,thorax,53,27
cover1,head top,47,18
cover1,Right ankle,64,121
cover1,Right knee,58,96
cover1,Right hip,70,72
cover1,Left hip,56,67
cover1,Left knee,37,73
cover1,Left ankle,46,96
cover1,Right wrist,33,55
cover1,Right elbow,43,45
cover1,Right shoulder,53,26
cover1,Left shoulder,52,29
cover1,Left elbow,40,42
cover1,Left wrist,45,30
cover1,thorax,51,25
cover1,head top,46,16
cover1,Right ankle,64,128
cover1,Right knee,64,102
cover1,Right hip,55,79
cover1,Left hip,60,79
cover1,Left knee,67,100
cover1,Left ankle,66,126
cover1,Right wrist,77,28
cover1,Right elbow,79,42
cover1,Right shoulder,61,36
cover1,Left shoulder,64,36
cover1,Left elbow,73,49
cover1,Left wrist,79,64
cover1,thorax,64,32
cover1,head top,68,22
cover1,Right ankle,82,103
cover1,Right knee,86,79
cover1,Right hip,61,74
cover1,Left hip,53,80
cover1,Left knee,75,95
cover1,Left ankle,54,105
cover1,Right wrist,71,24
cover1,Right elbow,77,40
cover1,Right shoulder,60,34
cover1,Left shoulder,57,33
cover1,Left elbow,72,45
cover1,Left wrist,86,56
cover1,thorax,62,31
cover1,head top,66,20
cover1,Right ankle,84,102
cover1,Right knee,85,79
cover1,Right hip,62,75
cover1,Left hip,54,81
cover1,Left knee,76,97
cover1,Left ankle,67,118
cover1,Right wrist,71,55
cover1,Right elbow,62,57
cover1,Right shoulder,62,37
cover1,Left shoulder,55,35
cover1,Left elbow,74,29
cover1,Left wrist,86,20
cover1,thorax,61,33
cover1,head top,67,20
cover1,Right ankle,64,122
cover1,Right knee,61,96
cover1,Right hip,70,72
cover1,Left hip,62,72
cover1,Left knee,58,94
cover1,Left ankle,62,123
cover1,Right wrist,31,50
cover1,Right elbow,41,40
cover1,Right shoulder,58,27
cover1,Left shoulder,49,30
cover1,Left elbow,38,40
cover1,Left wrist,41,25
cover1,thorax,52,23
cover1,head top,47,15
cover1,Right ankle,58,132
cover1,Right knee,56,111
cover1,Right hip,52,87
cover1,Left hip,70,87
cover1,Left knee,67,110
cover1,Left ankle,65,133
cover1,Right wrist,44,79
cover1,Right elbow,44,60
cover1,Right shoulder,47,43
cover1,Left shoulder,73,41
cover1,Left elbow,84,56
cover1,Left wrist,94,67
cover1,thorax,60,41
cover1,head top,60,23
cover1,Right ankle,64,128
cover1,Right knee,66,102
cover1,Right hip,55,77
cover1,Left hip,60,77
cover1,Left knee,68,102
cover1,Left ankle,66,127
cover1,Right wrist,78,76
cover1,Right elbow,73,57
cover1,Right shoulder,66,38
cover1,Left shoulder,58,36
cover1,Left elbow,74,51
cover1,Left wrist,80,64
cover1,thorax,62,32
cover1,head top,68,21
cover1,Right ankle,38,129
cover1,Right knee,46,108
cover1,Right hip,49,84
cover1,Left hip,72,83
cover1,Left knee,76,107
cover1,Left ankle,85,129
cover1,Right wrist,42,77
cover1,Right elbow,45,60
cover1,Right shoulder,46,43
cover1,Left shoulder,69,42
cover1,Left elbow,77,26
cover1,Left wrist,66,18
cover1,thorax,58,40
cover1,head top,60,23
cover1,Right ankle,44,109
cover1,Right knee,40,83
cover1,Right hip,57,70
cover1,Left hip,66,71
cover1,Left knee,55,95
cover1,Left ankle,73,113
cover1,Right wrist,31,50
cover1,Right elbow,43,39
cover1,Right shoulder,57,26
cover1,Left shoulder,61,30
cover1,Left elbow,62,50
cover1,Left wrist,56,60
cover1,thorax,53,27
cover1,head top,46,19
cover1,Right ankle,59,133
cover1,Right knee,56,112
cover1,Right hip,52,89
cover1,Left hip,69,89
cover1,Left knee,66,112
cover1,Left ankle,65,133
cover1,Right wrist,45,81
cover1,Right elbow,44,64
cover1,Right shoulder,45,46
cover1,Left shoulder,72,43
cover1,Left elbow,79,62
cover1,Left wrist,79,79
cover1,thorax,60,41
cover1,head top,59,23
cover1,Right ankle,64,129
cover1,Right knee,66,105
cover1,Right hip,66,79
cover1,Left hip,52,80
cover1,Left knee,71,100
cover1,Left ankle,64,126
cover1,Right wrist,75,15
cover1,Right elbow,80,29
cover1,Right shoulder,65,37
cover1,Left shoulder,56,36
cover1,Left elbow,78,30
cover1,Left wrist,94,28
cover1,thorax,64,31
cover1,head top,68,20
cover1,Right ankle,63,120
cover1,Right knee,62,94
cover1,Right hip,68,71
cover1,Left hip,70,71
cover1,Left knee,60,95
cover1,Left ankle,62,122
cover1,Right wrist,31,51
cover1,Right elbow,44,42
cover1,Right shoulder,57,30
cover1,Left shoulder,66,31
cover1,Left elbow,70,50
cover1,Left wrist,57,59
cover1,thorax,58,27
cover1,head top,49,19
cover1,Right ankle,38,129
cover1,Right knee,45,107
cover1,Right hip,50,83
cover1,Left hip,72,84
cover1,Left knee,67,109
cover1,Left ankle,67,132
cover1,Right wrist,34,74
cover1,Right elbow,39,59
cover1,Right shoulder,46,44
cover1,Left shoulder,72,42
cover1,Left elbow,79,60
cover1,Left wrist,78,76
cover1,thorax,59,42
cover1,head top,64,23
cover1,Right ankle,53,133
cover1,Right knee,54,110
cover1,Right hip,52,87
cover1,Left hip,72,84
cover1,Left knee,78,105
cover1,Left ankle,88,127
cover1,Right wrist,42,76
cover1,Right elbow,42,61
cover1,Right shoulder,47,43
cover1,Left shoulder,73,41
cover1,Left elbow,85,55
cover1,Left wrist,96,68
cover1,thorax,59,41
cover1,head top,60,22
cover1,Right ankle,38,130
cover1,Right knee,46,108
cover1,Right hip,51,84
cover1,Left hip,72,84
cover1,Left knee,77,107
cover1,Left ankle,85,130
cover1,Right wrist,35,26
cover1,Right elbow,31,37
cover1,Right shoulder,48,41
cover1,Left shoulder,72,40
cover1,Left elbow,89,38
cover1,Left wrist,85,23
cover1,thorax,59,40
cover1,head top,60,23
cover1,Right ankle,47,124
cover1,Right knee,63,104
cover1,Right hip,54,80
cover1,Left hip,61,79
cover1,Left knee,76,96
cover1,Left ankle,67,118
cover1,Right wrist,92,47
cover1,Right elbow,75,52
cover1,Right shoulder,66,40
cover1,Left shoulder,54,36
cover1,Left elbow,72,45
cover1,Left wrist,84,57
cover1,thorax,63,35
cover1,head top,67,22
cover1,Right ankle,79,99
cover1,Right knee,88,74
cover1,Right hip,63,77
cover1,Left hip,54,81
cover1,Left knee,65,100
cover1,Left ankle,69,127
cover1,Right wrist,72,24
cover1,Right elbow,77,40
cover1,Right shoulder,60,34
cover1,Left shoulder,55,33
cover1,Left elbow,76,45
cover1,Left wrist,88,56
cover1,thorax,60,29
cover1,head top,65,20
cover1,Right ankle,63,122
cover1,Right knee,60,96
cover1,Right hip,64,70
cover1,Left hip,68,69
cover1,Left knee,62,96
cover1,Left ankle,64,122
cover1,Right wrist,43,65
cover1,Right elbow,48,47
cover1,Right shoulder,54,30
cover1,Left shoulder,62,28
cover1,Left elbow,66,47
cover1,Left wrist,67,64
cover1,thorax,57,26
cover1,head top,47,19
cover2,Right ankle,43,93
cover2,Right knee,67,103
cover2,Right hip,56,75
cover2,Left hip,64,73
cover2,Left knee,79,94
cover2,Left ankle,83,122
cover2,Right wrist,78,39
cover2,Right elbow,82,51
cover2,Right shoulder,71,31
cover2,Left shoulder,64,30
cover2,Left elbow,79,42
cover2,Left wrist,73,54
cover2,thorax,69,29
cover2,head top,75,18
cover2,Right ankle,42,106
cover2,Right knee,57,81
cover2,Right hip,76,60
cover2,Left hip,71,54
cover2,Left knee,43,56
cover2,Left ankle,49,78
cover2,Right wrist,37,22
cover2,Right elbow,42,36
cover2,Right shoulder,54,23
cover2,Left shoulder,75,15
cover2,Left elbow,84,30
cover2,Left wrist,89,49
cover2,thorax,61,18
cover2,head top,54,7
cover2,Right ankle,46,105
cover2,Right knee,57,80
cover2,Right hip,77,59
cover2,Left hip,70,55
cover2,Left knee,44,55
cover2,Left ankle,49,75
cover2,Right wrist,59,34
cover2,Right elbow,49,42
cover2,Right shoulder,52,25
cover2,Left shoulder,67,14
cover2,Left elbow,71,34
cover2,Left wrist,61,43
cover2,thorax,60,19
cover2,head top,50,9
cover2,Right ankle,60,129
cover2,Right knee,60,105
cover2,Right hip,48,79
cover2,Left hip,57,79
cover2,Left knee,70,102
cover2,Left ankle,68,127
cover2,Right wrist,64,69
cover2,Right elbow,58,58
cover2,Right shoulder,51,37
cover2,Left shoulder,52,35
cover2,Left elbow,66,28
cover2,Left wrist,81,17
cover2,thorax,55,31
cover2,head top,55,19
cover2,Right ankle,48,111
cover2,Right knee,29,96
cover2,Right hip,48,80
cover2,Left hip,72,82
cover2,Left knee,86,106
cover2,Left ankle,62,111
cover2,Right wrist,41,26
cover2,Right elbow,34,42
cover2,Right shoulder,50,38
cover2,Left shoulder,75,39
cover2,Left elbow,94,40
cover2,Left wrist,88,25
cover2,thorax,64,36
cover2,head top,66,22
cover2,Right ankle,52,89
cover2,Right knee,33,74
cover2,Right hip,54,69
cover2,Left hip,63,68
cover2,Left knee,65,98
cover2,Left ankle,80,84
cover2,Right wrist,41,42
cover2,Right elbow,33,41
cover2,Right shoulder,40,33
cover2,Left shoulder,47,29
cover2,Left elbow,38,50
cover2,Left wrist,38,39
cover2,thorax,46,25
cover2,head top,42,15
cover2,Right ankle,59,98
cover2,Right knee,35,84
cover2,Right hip,49,64
cover2,Left hip,66,64
cover2,Left knee,62,89
cover2,Left ankle,63,119
cover2,Right wrist,47,54
cover2,Right elbow,37,44
cover2,Right shoulder,46,27
cover2,Left shoulder,72,24
cover2,Left elbow,82,42
cover2,Left wrist,71,50
cover2,thorax,60,22
cover2,head top,60,7
cover2,Right ankle,80,128
cover2,Right knee,80,102
cover2,Right hip,61,78
cover2,Left hip,64,78
cover2,Left knee,78,103
cover2,Left ankle,80,129
cover2,Right wrist,78,70
cover2,Right elbow,74,53
cover2,Right shoulder,66,35
cover2,Left shoulder,72,34
cover2,Left elbow,78,50
cover2,Left wrist,85,68
cover2,thorax,69,31
cover2,head top,75,21
cover2,Right ankle,48,110
cover2,Right knee,29,93
cover2,Right hip,49,79
cover2,Left hip,71,82
cover2,Left knee,87,105
cover2,Left ankle,60,110
cover2,Right wrist,32,62
cover2,Right elbow,35,47
cover2,Right shoulder,50,38
cover2,Left shoulder,75,40
cover2,Left elbow,93,46
cover2,Left wrist,94,65
cover2,thorax,65,36
cover2,head top,68,22
cover2,Right ankle,49,134
cover2,Right knee,50,112
cover2,Right hip,49,82
cover2,Left hip,71,82
cover2,Left knee,66,113
cover2,Left ankle,70,135
cover2,Right wrist,53,15
cover2,Right elbow,40,26
cover2,Right shoulder,52,35
cover2,Left shoulder,78,39
cover2,Left elbow,85,59
cover2,Left wrist,79,74
cover2,thorax,64,36
cover2,head top,65,22
cover2,Right ankle,46,102
cover2,Right knee,54,75
cover2,Right hip,70,61
cover2,Left hip,78,60
cover2,Left knee,75,88
cover2,Left ankle,92,107
cover2,Right wrist,34,22
cover2,Right elbow,41,37
cover2,Right shoulder,51,27
cover2,Left shoulder,67,17
cover2,Left elbow,83,30
cover2,Left wrist,85,43
cover2,thorax,56,18
cover2,head top,48,10
cover2,Right ankle,83,99
cover2,Right knee,61,82
cover2,Right hip,83,64
cover2,Left hip,76,58
cover2,Left knee,53,76
cover2,Left ankle,44,96
cover2,Right wrist,40,28
cover2,Right elbow,44,42
cover2,Right shoulder,56,29
cover2,Left shoulder,69,19
cover2,Left elbow,67,39
cover2,Left wrist,66,55
cover2,thorax,63,19
cover2,head top,54,12
cover2,Right ankle,47,126
cover2,Right knee,63,105
cover2,Right hip,55,77
cover2,Left hip,64,77
cover2,Left knee,80,96
cover2,Left ankle,81,124
cover2,Right wrist,49,68
cover2,Right elbow,52,54
cover2,Right shoulder,65,37
cover2,Left shoulder,72,38
cover2,Left elbow,77,51
cover2,Left wrist,86,65
cover2,thorax,71,35
cover2,head top,75,23
cover2,Right ankle,63,109
cover2,Right knee,70,85
cover2,Right hip,88,63
cover2,Left hip,82,62
cover2,Left knee,65,79
cover2,Left ankle,60,108
cover2,Right wrist,45,26
cover2,Right elbow,50,40
cover2,Right shoulder,60,31
cover2,Left shoulder,70,21
cover2,Left elbow,70,40
cover2,Left wrist,67,56
cover2,thorax,63,22
cover2,head top,54,14
cover2,Right ankle,62,75
cover2,Right knee,37,61
cover2,Right hip,52,60
cover2,Left hip,71,61
cover2,Left knee,63,80
cover2,Left ankle,61,96
cover2,Right wrist,48,51
cover2,Right elbow,38,43
cover2,Right shoulder,46,26
cover2,Left shoulder,71,23
cover2,Left elbow,81,40
cover2,Left wrist,70,48
cover2,thorax,59,21
cover2,head top,60,6
cover2,Right ankle,64,100
cover2,Right knee,71,97
cover2,Right hip,55,80
cover2,Left hip,66,79
cover2,Left knee,75,99
cover2,Left ankle,73,127
cover2,Right wrist,68,71
cover2,Right elbow,58,57
cover2,Right shoulder,61,37
cover2,Left shoulder,68,35
cover2,Left elbow,76,49
cover2,Left wrist,88,65
cover2,thorax,67,32
cover2,head top,77,26
cover2,Right ankle,43,104
cover2,Right knee,55,83
cover2,Right hip,76,59
cover2,Left hip,71,54
cover2,Left knee,45,55
cover2,Left ankle,50,75
cover2,Right wrist,60,35
cover2,Right elbow,48,40
cover2,Right shoulder,53,23
cover2,Left shoulder,75,15
cover2,Left elbow,86,33
cover2,Left wrist,90,49
cover2,thorax,61,16
cover2,head top,52,7
cover2,Right ankle,46,109
cover2,Right knee,49,87
cover2,Right hip,67,63
cover2,Left hip,59,59
cover2,Left knee,41,82
cover2,Left ankle,43,109
cover2,Right wrist,34,57
cover2,Right elbow,42,42
cover2,Right shoulder,47,26
cover2,Left shoulder,61,17
